3,吉林省通化县快大茂镇欣欣小学,吉林,通化市,通化县,快大茂镇,刘洁,1998,2017,后续支持,暂停捐赠,不愿意再联系,通化县快大茂镇中心小学 占地面积37521平方米，建筑面积12268平方米。建有200米塑胶跑道，2400平方米的人工草坪，126平方米的观礼台。体育设施齐全，有篮球场地2个、排球场地2个、乒乓球台4个，以及一系列健身器材。现代教育技术装备设施完备，建有38个具有多媒体功能的教室、16个包括计算机室、实验室、声乐室等在内的功能教室和１个“民俗器用陈列馆”，办学条件在省内堪称一流。现有教学班35个，教师132人，学生1569人。,吉林通化县快大茂镇文化街366号134100,0435-5257166,thxkdzzxx@126.com,thxkdzzxx@126.com,13844515864,13844515864,中心小学,1600,130,,5,6,6,6,6,6,,298,208,267,291,238,278,,0,,是,是,有电脑室，共100台电脑，电脑设备老化需要更新,100台,42套,是,38,50000
145,云南威信县双河乡天池村彭周欣欣小学,云南,昭通市,威信县,双河乡,熊明忠,2004,2012,后续支持,暂停捐赠,不愿意再联系,因安全抓得紧，学校需暂停与境外有关的一切活动。,云南省威信县双河苗族彝族天池欣欣希望小学657900,18887028338,851912545@qq.com,330737610@qq.com,15087205511,xmzh19810729,完全小学,113,9,,1,1,1,1,1,1,,19,19,11,17,21,26,,,,是,是,13,1,,是,0,4000
42,湖南湘西吉首市河溪镇思谕欣欣小学,湖南湘西,湘西州,吉首市,河溪镇,张勇,2002,,后续支持,基础设施,中心校加入,吉首市河溪镇阿娜思谕欣欣小学属于河溪学区一所片完小。学校位于峒河之滨，319国道和常吉高速交叉十字路口旁。校园依山傍水，距州市府所在地8公里，享有吉首市南大门之美称。学校占地面积2700平方米，建筑面积1020平方米。现有教师12人，开设年级1至6年级，共有学生120人，学校入学率和毕业率均为100%，2012年被评为州级合格村小。,湖南省吉首市河溪镇阿娜村四组    邮编416014,13467439962,547601594@qq.com,,15080869889,,中心小学,44,8,,1,1,1,1,1,1,,,,,,,,,0,,是,是,,3,1,是,,2000
208,四川省达州市通川区金石镇林氏欣欣中心学校,四川,达州市,通川区,金石镇,王在明,2005,2017,后续支持,基础设施,中心校加入,林氏欣欣基点校的前身系原金石乡柳潭小学，始建于清朝康熙年间。 2005年由美国欣欣教育基金会捐赠一万美元，达县人民政府配套十万元，作为改造校舍和学校设施的经费。于2005年9月由四川升华集团有限公司动工改建，拆除旧校舍，新建混砖结构平房12间，建筑面积450平方米，满足了当时学生入学的需求。 为了感谢华侨林氏欣欣集团的厚爱，铭记深情，2006年1月16日“柳潭小学”正式更名为“林氏欣欣基点校”。现与中心校合并，学生898人，23个教学班，教职工82人。,四川省达州市通川区金石镇中心校 转林氏欣欣基点校 635000,15983867998,jslhb123@126.com,,15983867998,wxid_lwsr05q2kykj22,九年制,898,82,2,2,2,2,2,3,3,,96,99,102,105,122,120,452,680,,是,是,2,10,23,是,0,24000
284,广西壮族自治区百色市乐业县同乐镇武称李维新欣欣小学,广西,百色市,乐业县,同乐镇,王连密,2007,2017,后续支持,基础设施,中心校加入,学校始建于1937年，有37位教师，15个教学班，学生共有524人，学校的办学理念是与感恩为主题,广西壮族自治区百色市乐业县同乐镇武称小学 533200,7767787555,wcxx7802349@126.com,wcxx7802349@126.com,15077666211,15077666211,九年制,610,55,2,2,2,2,2,2,3,70,85,75,70,75,70,81,,404,,是,是,50,35,15,是,,14000
286,广西壮族自治区忻城县思练镇德慧欣欣小学,广西,来宾市,忻城县,思练镇,潘继斌,2007,2017,后续支持,基础设施,中心校加入,忻城县思练镇中心小学教学服务区为全镇一个社区和15个村民委，服务人口6万多人。全镇小学开设1—6年级，共有81个教学班，在校生3740人，学校现有教职工213人，工人1人，安全协管员10人，零就业人员12人，领导班子24人，教师合格率100%。全镇学校占地面积83512平方米，校舍建筑面积15105平方米，生均校舍面积4.38平方米。忻城县思练镇中心小学一校区（2011年2月撤点并校后迁入原思练镇初级中学），占地面积30709.8平方米（约47亩），是忻城县目前最大的寄宿制小学。,广西壮族自治区忻城县思练镇德慧欣欣小学 000000,7725772171,slxx171@163.com,panjibin6@163.com,13978203065,wxid-8oato9vibmu622,中心小学,3740,213,0,3,5,4,11,10,10,0,541,605,692,641,564,605,,1810,,是,是,70,30,41,是,38,63330
292,四川省巴中市南江县高塔镇金盆硅谷女性欣欣小学,四川,巴中市,南江县,高塔镇,张斌,2007,2018,后续支持,基础设施,中心校加入,我校始建于1958年，是典型的山区农村完全小学，海拔高度900余米，学校服务半径5公里，覆盖下去6个行政村和一个社区5000余人口。学校占地面积为7950平方米，现有教学楼1栋8间，综合楼470平方米，学生宿舍2栋，学生食堂1栋，厕所1栋。建筑面积2500余平方米。现有教职工20人，学生52人，三个教学点包括中心校及两所村校。,四川省巴中市南江县高塔镇金盆小学 636623,0827-8256155,156818378@qq.com,156818378@qq.com,18190122791,18190122791,中心小学,53,16,3,1,3,0,1,1,1,7,2,8,0,12,8,15,,24,,是,是,21,8,2,是,8,5000
297,四川省宜宾县高场镇崇实欣欣小学,四川,宜宾市,叙州区,高场镇,郑能贵,2007,2019,后续支持,基础设施,中心校加入,基本情况 高场镇黄伞小学地处岷江河畔黄伞乡腹地，位于大华村13组。整个校园被山水环绕，可谓是依山傍水，天空时见成群的白露飞过，是一个理想的学习之地。 该校原名肖家祠，始建于明代末年，当时是一个四合院，全属木结构。解放后1950年，肖家祠没收国有，同年9月，内部房间稍经改造，办起了黄伞乡中心校。当时有4个教学班，7个教师，到1951年才完全办起了小学校，原名为“宜宾县高场区黄伞乡中心校”，1980年调整为九年一贯制学校；2006年经“资源整合”后，为现在的宜宾县高场镇黄伞小学校，属于一所基点学校，也属于“欣欣小学”，下属两个村小，分别是涂坝小学和公民小学。 校舍经过多次改造，四合院的影子于2012年彻底没有了，同年，新教学楼动工修建，2013年验收使用，一幢三层的教学楼，拔地而起。学校占地面积7727平方米，现有6个年级6个教学班；幼儿园：大班、小班各1个，学生总人数297人。全校教师共15人，其中本科4人，专科10人，中师1人；小学高级教师3人，市级骨干教师1人。  学校为孩子们的学习提供了一部分硬件设施、设备，图书室、实验仪器室、电子白板室、幼儿园休息室，为孩子们的全面发展提供了有力保障。  办学理念 多年来，黄伞小学积极推进素质教育，努力提高教育教学质量，创建具有田园特色的新型乡村学校，结合实际，以“全面发展、提高素质、培养能力、发展个性”为办学理念。 办学特色 多年来黄伞小学形成了自己的办学特色：一是让孩子们享受学习与成长的快乐。学校除了给孩子们提供学习科学文化知识外，还开设了羽毛球、跳绳、舞蹈、乒乓球等各种兴趣小组，让孩子们充分感受到学习与成长的快乐。  当你听到“每天锻炼一小时，健康成长多快乐！”时，这是黄伞小大课间时间到了。每天第二节课眼保健操一结束，同学们就迅速排好队，踏着音乐节奏有序来到操场上，进行“1+x”活动。学校还以每年的5月、12月为学生才艺展示月。 二是让孩子们全面发展。学校成立了学生会，并分为5个部，即学习部、卫生部、纪检部、文艺部和体育部，分别由三年级以上优秀学生组成，形成自我管理、分工合作的形式。每天的两操他们都积极主动地回到自己的岗位上，包括每个星期一的升旗仪式，也由学生会主持并总结上周情况，让他们逐渐学会自己管理自己，并看到自己的不足，这样不仅锻炼了孩子们的胆量，还培养了他们的管理、合作能力及自我约束力。     三是有规所循。即以“强师德、树形象、练,四川省宜宾县高场镇大华村13组 644609,18148467839,3399313950@qq.com,2625479006@qq.com,13688289218,e02b17319,中心小学,168,12,3,1,1,1,1,1,1,84,37,28,31,29,32,28,0,0,,是,是,30,6,0套,是,0,2000
262,广西壮族自治区金秀县罗香乡李门欣欣中心小学,广西,来宾市,金秀瑶族自治县,罗香乡,陈开民,2006,2017,后续支持,师资培训,中心校加入,,广西省来宾市金秀县罗香乡罗香街10号545704,18377206267,jxluoxiang@163.com,451833146@qq.com,18377206267,wla005,完全小学,572,56,,8,7,5,4,3,4,,101,91,91,86,84,119,,180,,是,是,70,30,20,是,,10000
51,湖南省湘西花垣县龙潭镇广恩欣欣小学,湖南湘西,湘西州,花垣县,龙潭镇,王治安,2003,2019,后续支持,教学设备,中心校加入,学校于民国期间，由当地绅士集资办创，学校坐落于龙潭镇草坪村，学生来源于草坪、金溶、龙鼻嘴三个村12个自然寨，村民人口3987人。学校距离县城25KM。解放后，学制为九年一贯制义务教育学校，1980年9月1日被县教育局命名为龙潭镇草坪小学。1991年7月由美籍华人创办欣欣教育基金会，捐款20000美元，新修了一栋600多平方米的教学楼，更名为“龙潭镇草坪广恩欣欣小学”，现有3个教学班，在校学生42人。目前校园占地面积3359平方米，校舍建筑面积858.43平方米；2017年给教学楼增建一个楼梯。,湖南省花垣县龙潭镇草坪村   416403,7432179032,470621874@qq.com,33172445@qq.com,13974375606,hycl12o3,中心小学,968,67,,,,,,,,,,,,,,,,0,,否,否,,0,,,0,
